ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2007_1_2_24,UYMVD_PM10_D ,24,PM10,ug/m3,02/01/2007,86,UYMVD_E1,572452,6137044,Ciudad Vieja 2
2,UYMVD_2007_1_9_24,UYMVD_PM10_D ,24,PM10,ug/m3,09/01/2007,30,UYMVD_E1,572452,6137044,Ciudad Vieja 2
3,UYMVD_2007_1_15_24,UYMVD_PM10_D ,24,PM10,ug/m3,15/01/2007,36,UYMVD_E1,572452,6137044,Ciudad Vieja 2
4,UYMVD_2007_2_6_24,UYMVD_PM10_D ,24,PM10,ug/m3,06/02/2007,38,UYMVD_E1,572452,6137044,Ciudad Vieja 2
5,UYMVD_2007_2_12_24,UYMVD_PM10_D ,24,PM10,ug/m3,12/02/2007,46,UYMVD_E1,572452,6137044,Ciudad Vieja 2
6,UYMVD_2007_2_21_24,UYMVD_PM10_D ,24,PM10,ug/m3,21/02/2007,37,UYMVD_E1,572452,6137044,Ciudad Vieja 2
7,UYMVD_2007_2_26_24,UYMVD_PM10_D ,24,PM10,ug/m3,26/02/2007,57,UYMVD_E1,572452,6137044,Ciudad Vieja 2
8,UYMVD_2007_3_5_24,UYMVD_PM10_D ,24,PM10,ug/m3,05/03/2007,22,UYMVD_E1,572452,6137044,Ciudad Vieja 2
9,UYMVD_2007_3_12_24,UYMVD_PM10_D ,24,PM10,ug/m3,12/03/2007,38,UYMVD_E1,572452,6137044,Ciudad Vieja 2
10,UYMVD_2007_3_16_24,UYMVD_PM10_D ,24,PM10,ug/m3,16/03/2007,52,UYMVD_E1,572452,6137044,Ciudad Vieja 2
11,UYMVD_2007_3_28_24,UYMVD_PM10_D ,24,PM10,ug/m3,28/03/2007,56,UYMVD_E1,572452,6137044,Ciudad Vieja 2
12,UYMVD_2007_4_10_24,UYMVD_PM10_D ,24,PM10,ug/m3,10/04/2007,33,UYMVD_E1,572452,6137044,Ciudad Vieja 2
13,UYMVD_2007_4_20_24,UYMVD_PM10_D ,24,PM10,ug/m3,20/04/2007,4,UYMVD_E1,572452,6137044,Ciudad Vieja 2
14,UYMVD_2007_5_2_24,UYMVD_PM10_D ,24,PM10,ug/m3,02/05/2007,47,UYMVD_E1,572452,6137044,Ciudad Vieja 2
15,UYMVD_2007_5_8_24,UYMVD_PM10_D ,24,PM10,ug/m3,08/05/2007,18,UYMVD_E1,572452,6137044,Ciudad Vieja 2
16,UYMVD_2007_5_10_24,UYMVD_PM10_D ,24,PM10,ug/m3,10/05/2007,48,UYMVD_E1,572452,6137044,Ciudad Vieja 2
17,UYMVD_2007_5_16_24,UYMVD_PM10_D ,24,PM10,ug/m3,16/05/2007,50,UYMVD_E1,572452,6137044,Ciudad Vieja 2
18,UYMVD_2007_6_3_24,UYMVD_PM10_D ,24,PM10,ug/m3,03/06/2007,40,UYMVD_E1,572452,6137044,Ciudad Vieja 2
19,UYMVD_2007_6_15_24,UYMVD_PM10_D ,24,PM10,ug/m3,15/06/2007,42,UYMVD_E1,572452,6137044,Ciudad Vieja 2
20,UYMVD_2007_6_18_24,UYMVD_PM10_D ,24,PM10,ug/m3,18/06/2007,30,UYMVD_E1,572452,6137044,Ciudad Vieja 2
21,UYMVD_2007_6_24_24,UYMVD_PM10_D ,24,PM10,ug/m3,24/06/2007,26,UYMVD_E1,572452,6137044,Ciudad Vieja 2
22,UYMVD_2007_7_5_24,UYMVD_PM10_D ,24,PM10,ug/m3,05/07/2007,77,UYMVD_E1,572452,6137044,Ciudad Vieja 2
23,UYMVD_2007_7_9_24,UYMVD_PM10_D ,24,PM10,ug/m3,09/07/2007,43,UYMVD_E1,572452,6137044,Ciudad Vieja 2
24,UYMVD_2007_7_15_24,UYMVD_PM10_D ,24,PM10,ug/m3,15/07/2007,39,UYMVD_E1,572452,6137044,Ciudad Vieja 2
25,UYMVD_2007_7_21_24,UYMVD_PM10_D ,24,PM10,ug/m3,21/07/2007,46,UYMVD_E1,572452,6137044,Ciudad Vieja 2
26,UYMVD_2007_7_27_24,UYMVD_PM10_D ,24,PM10,ug/m3,27/07/2007,47,UYMVD_E1,572452,6137044,Ciudad Vieja 2
27,UYMVD_2007_8_2_24,UYMVD_PM10_D ,24,PM10,ug/m3,02/08/2007,42,UYMVD_E1,572452,6137044,Ciudad Vieja 2
28,UYMVD_2007_8_8_24,UYMVD_PM10_D ,24,PM10,ug/m3,08/08/2007,87,UYMVD_E1,572452,6137044,Ciudad Vieja 2
29,UYMVD_2007_8_14_24,UYMVD_PM10_D ,24,PM10,ug/m3,14/08/2007,17,UYMVD_E1,572452,6137044,Ciudad Vieja 2
30,UYMVD_2007_8_20_24,UYMVD_PM10_D ,24,PM10,ug/m3,20/08/2007,34,UYMVD_E1,572452,6137044,Ciudad Vieja 2
